"","X1","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"31327",31327,31.51,"Einbýlishús",146.6,0,4,1,500,"Garðabær"
"31328",31328,27.05,"Íbúðareign",115.1,0,3,1,80,"Hlíðar"
"31329",31329,22.89,"Einbýlishús",136.4,0,4,1,8030,"Þorlákshöfn"
"31330",31330,26.49,"Íbúðareign",84.2,0,2,1,600,"Hafnarfjörður"
"31331",31331,35.19,"Íbúðareign",111.6,0,2,1,500,"Garðabær"
"31332",31332,33.25,"Íbúðareign",108.8,0,3,1,220,"Selás"
"31333",31333,28.65,"Íbúðareign",79.4,1,1,1,270,"Norðlingaholt"
"31334",31334,28.3,"Íbúðareign",96.7,0,3,1,200,"Árbær"
"31335",31335,27.79,"Íbúðareign",97.8,0,4,1,170,"Neðra-Breiðholt"
"31336",31336,34.77,"Íbúðareign",116.1,0,4,1,200,"Árbær"
"31337",31337,39.75,"Íbúðareign",102,1,3,1,340,"Kópavogur: Lindir, Salir"
"31338",31338,30.46,"Íbúðareign",103.7,0,2,2,91,"Háaleiti/Skeifa"
"31339",31339,21.5,"Íbúðareign",57.5,0,1,1,160,"Hólar, Berg"
"31340",31340,26.9,"Íbúðareign",101.7,0,2,1,170,"Neðra-Breiðholt"
"31341",31341,50.92,"Íbúðareign",177.7,1,3,1,350,"Kópavogur: Hvörf, Þing"
"31342",31342,64.94,"Einbýlishús",213,0,6,2,600,"Hafnarfjörður"
"31343",31343,76.46,"Íbúðareign",283.3,2,5,3,340,"Kópavogur: Lindir, Salir"
"31344",31344,58.48,"Raðhús",154.7,0,4,2,180,"Grafarholt"
"31345",31345,44.43,"Íbúðareign",127.5,0,3,1,270,"Norðlingaholt"
"31346",31346,36.95,"Íbúðareign",98.7,0,2,1,520,"Garðabær: Ásar"
"31347",31347,37.96,"Íbúðareign",62.4,0,2,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"31348",31348,35.24,"Íbúðareign",96.5,1,2,1,340,"Kópavogur: Lindir, Salir"
"31349",31349,56.88,"Einbýlishús",160.6,0,4,1,650,"Hafnarfjörður - Setberg"
"31350",31350,30.07,"Íbúðareign",102.7,0,2,2,600,"Hafnarfjörður"
"31351",31351,59.42,"Parhús",168,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"31352",31352,27.19,"Íbúðareign",79.9,0,2,1,630,"Hafnarfjörður - Vellir"
"31353",31353,20.95,"Einbýlishús",75.9,0,3,1,8120,"Stokkseyri"
"31354",31354,32.99,"Íbúðareign",88.2,1,2,1,350,"Kópavogur: Hvörf, Þing"
"31355",31355,42.88,"Einbýlishús",129.3,0,3,1,340,"Kópavogur: Lindir, Salir"
"31356",31356,45.93,"Íbúðareign",117.6,0,3,1,270,"Norðlingaholt"
"31357",31357,46.36,"Íbúðareign",128.4,0,3,2,400,"Seltjarnarnes"
"31358",31358,27.47,"Íbúðareign",105.1,0,3,1,160,"Hólar, Berg"
"31359",31359,25.47,"Íbúðareign",49.2,0,1,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"31360",31360,55.63,"Íbúðareign",138.3,0,2,2,91,"Háaleiti/Skeifa"
"31361",31361,33.47,"Einbýlishús",232.2,0,5,3,3000,"Akranes"
"31362",31362,40.64,"Parhús",184.4,0,5,1,3000,"Akranes"
"31363",31363,20.35,"Íbúðareign",121,0,2,1,3000,"Akranes"
"31364",31364,7.89,"Íbúðareign",71.8,0,2,1,3000,"Akranes"
"31365",31365,17.8,"Einbýlishús",91.7,0,2,1,3000,"Akranes"
"31366",31366,31.94,"Einbýlishús",182,0,5,2,3020,"Borgarnes"
"31367",31367,35.27,"Einbýlishús",139.7,0,4,1,3000,"Akranes"
"31368",31368,13.42,"Íbúðareign",77.5,0,2,1,2050,"Keflavík"
"31369",31369,15,"Einbýlishús",165.2,0,3,2,2010,"Vogar"
"31370",31370,34.36,"Raðhús",128.9,0,5,1,2050,"Keflavík"
"31371",31371,18.75,"Íbúðareign",70,0,1,1,2040,"Njarðvík"
"31372",31372,25.95,"Raðhús",104.8,0,2,1,2060,"Grindavík"
"31373",31373,19.49,"Íbúðareign",84.8,0,2,1,2060,"Grindavík"
"31374",31374,30.27,"Einbýlishús",104.6,0,3,1,2060,"Grindavík"
"31375",31375,24.6,"Einbýlishús",100.7,0,3,1,2060,"Grindavík"
"31376",31376,17.7,"Íbúðareign",90.2,0,2,1,2060,"Grindavík"
"31377",31377,15.34,"Raðhús",185.9,0,6,1,4100,"Ísafjörður: Eldri byggð"
"31378",31378,29.93,"Íbúðareign",80.1,0,2,2,100,"Laugarneshverfi/Vogar"
"31379",31379,36.49,"Raðhús",85.4,0,3,1,284,"Bústaðahverfi"
"31380",31380,37.28,"Íbúðareign",103.4,1,3,1,680,"Hafnarfjörður - Börð"
"31381",31381,48.19,"Raðhús",133.5,0,3,1,600,"Hafnarfjörður"
"31382",31382,36.01,"Íbúðareign",119.3,0,1,3,600,"Hafnarfjörður"
"31383",31383,26.49,"Íbúðareign",77.4,0,1,2,600,"Hafnarfjörður"
"31384",31384,18.93,"Einbýlishús",133.5,0,5,2,3040,"Búðardalur"
"31385",31385,11.77,"Parhús",61,0,1,0,8020,"Hveragerði"
"31386",31386,49.95,"Íbúðareign",87.2,1,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31387",31387,58.7,"Einbýlishús",152.5,0,0,1,650,"Hafnarfjörður - Setberg"
"31388",31388,28.45,"Íbúðareign",98.4,1,3,1,150,"Seljahverfi"
"31389",31389,32.58,"Íbúðareign",88.9,1,2,1,351,"Kópavogur: Kórar"
"31390",31390,22.78,"Íbúðareign",94.8,0,2,1,8010,"Selfoss"
"31391",31391,26.46,"Íbúðareign",62.7,0,2,1,280,"Fossvogur"
"31392",31392,31.33,"Íbúðareign",118.6,0,3,2,600,"Hafnarfjörður"
"31393",31393,10.71,"Íbúðareign",81,0,2,1,3020,"Borgarnes"
"31394",31394,20.88,"Raðhús",77.2,0,2,1,8010,"Selfoss"
"31395",31395,30.94,"Einbýlishús",131.2,0,4,1,8010,"Selfoss"
"31396",31396,18.49,"Íbúðareign",99.5,0,2,1,2040,"Njarðvík"
"31397",31397,40,"Einbýlishús",160.2,0,4,2,2050,"Keflavík"
"31398",31398,35.49,"Raðhús",116.3,0,3,1,2040,"Njarðvík"
"31399",31399,40.65,"Íbúðareign",91.2,0,1,1,520,"Garðabær: Ásar"
"31400",31400,24.78,"Íbúðareign",76.3,0,1,1,160,"Hólar, Berg"
"31401",31401,34.65,"Íbúðareign",81.3,0,3,1,280,"Fossvogur"
"31402",31402,36,"Íbúðareign",136.7,0,3,1,630,"Hafnarfjörður - Vellir"
"31403",31403,25.49,"Íbúðareign",85.2,0,3,2,330,"Kópavogur: Hjallar, Smárar"
"31404",31404,26.28,"Íbúðareign",50.8,0,2,1,100,"Laugarneshverfi/Vogar"
"31405",31405,33.74,"Íbúðareign",115.9,0,3,1,6010,"Akureyri: Naustahverfi"
"31406",31406,20.5,"Íbúðareign",89.3,0,2,1,8010,"Selfoss"
"31407",31407,11.3,"Íbúðareign",120,0,5,1,2020,"Sandgerði"
"31408",31408,37.76,"Íbúðareign",107.2,1,3,1,180,"Grafarholt"
"31409",31409,27.89,"Íbúðareign",61,0,1,1,91,"Háaleiti/Skeifa"
"31410",31410,32.96,"Íbúðareign",93.9,0,0,0,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"31411",31411,34.81,"Íbúðareign",145.8,0,2,2,600,"Hafnarfjörður"
"31412",31412,30.97,"Íbúðareign",74,0,2,2,90,"Holt/Tún"
"31413",31413,30,"Íbúðareign",76.9,0,2,1,180,"Grafarholt"
"31414",31414,71.88,"Einbýlishús",269.1,0,7,2,330,"Kópavogur: Hjallar, Smárar"
"31415",31415,23.79,"Íbúðareign",56.4,0,1,1,200,"Árbær"
"31416",31416,34.49,"Íbúðareign",80.8,0,1,2,90,"Holt/Tún"
"31417",31417,32.04,"Íbúðareign",114.2,0,3,1,320,"Kópavogur: Austurbær"
"31418",31418,33.56,"Einbýlishús",146.9,0,3,1,2020,"Sandgerði"
"31419",31419,70.99,"Parhús",199.2,0,4,2,75,"Skerjafjörður"
"31420",31420,42.69,"Íbúðareign",117.4,0,3,1,140,"Grafarvogur: Staðir"
"31421",31421,66.36,"Raðhús",168.1,0,3,2,85,"Kringlan"
"31422",31422,26.32,"Íbúðareign",77.1,1,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"31423",31423,59.03,"Einbýlishús",209,0,7,3,320,"Kópavogur: Austurbær"
"31424",31424,38.16,"Íbúðareign",108.6,1,3,1,351,"Kópavogur: Kórar"
